"date","avg_shadow_rate","log_deflated_price","deficit","hicp_ecb","gscpi","gdp_deflator_fed","gdp_growth_log"
2002,3.34002680910907,315.64135978976,0.37145972103363,2.53333333333333,-0.570169190648055,78.6833333333333,0.409405793217665
2002.25,3.53439984789654,328.710764396977,-0.0991390914783752,2.13333333333333,-0.480750180048895,79.4633333333333,0.84202333542045
2002.5,3.13021422280664,328.724525106635,-0.168142027132755,2.06666666666667,-1.03192655562257,79.51,1.07319382455593
2002.75,2.6755649959636,326.31420913685,-0.710622231810405,2.3,-0.861414197179541,79.9366666666667,1.30422369300973
2003,2.14625969928648,335.649171588301,-0.530810588104808,2.3,-0.398775746155621,80.51,0.839622583591471
2003.25,1.82555276837215,311.795615576838,-0.439576986703284,1.96666666666667,-0.272486613920442,81.05,0.388271549649488
2003.5,1.81916573592138,320.861420478341,-0.113502957434473,2,0.0157969221125693,81.1566666666667,0.594435083636569
2003.75,1.94987022798981,318.52421160434,-0.0782206467666708,2.06666666666667,-0.340815556433811,81.6133333333333,1.02681177158583
2004,1.71551134648875,322.550914093085,0.0297960325628087,1.7,-0.299827321350719,81.91,1.8504125200085
2004.25,1.8515656994571,335.773473665689,0.0752260779487681,2.33333333333333,0.384961033597754,82.9333333333333,2.42090529310968
2004.5,1.90502169932683,349.959740895587,-0.0910611314630754,2.26666666666667,-0.131088261008752,83.02,2.01664331791083
2004.75,1.86391073295695,349.999590210481,-0.147137780856183,2.3,-0.177331090095179,83.5266666666667,1.81729264355965
2005,1.95891676996409,357.707548533414,-0.121940534429195,2.06666666666667,-0.161904696479224,83.6066666666667,1.53223807399758
2005.25,1.81749057744706,369.334417377089,-0.0775017097782736,2.03333333333333,-1.05831656977831,84.6266666666667,1.5388774315829
2005.5,1.85057626718939,389.895331371028,-0.241936327741651,2.3,-0.419589993850892,84.94,2.0567666957886
2005.75,2.26763636590902,384.389472599302,-0.27630542672786,2.36666666666667,-0.472615768847924,85.49,2.31832136449981
2006,2.63690332803932,391.56446751327,-0.595755425594352,2.33333333333333,-0.498818629441492,85.5666666666667,2.97553885795985
2006.25,2.93675663480971,398.758799440849,-0.945623741737284,2.46666666666667,0.116358819809128,86.73,3.45907609001355
2006.5,3.21925158845001,398.093911795508,-1.11931802798819,2.16666666666667,-0.224547208896931,86.8033333333333,3.26507821064865
2006.75,3.54420342038225,381.478919235895,-1.23970944898816,1.76666666666667,-0.393546344627084,87.0366666666667,3.73298569721836
2007,3.81057007864778,376.876366933238,-1.39569254531086,1.83333333333333,-0.722821979594906,87.19,3.50650324952113
2007.25,4.10536318027758,391.038311754588,-1.68184666172124,1.9,-0.532242536304247,88.39,3.07004084895048
2007.5,4.06095324587118,397.73736407079,-1.89956231262769,1.86666666666667,-0.190497220051897,88.4633333333333,2.90238218844543
2007.75,3.84029497173532,408.169533090885,-2.12481254083049,2.9,-0.411583060047963,89.5866666666667,2.24224264090083
2008,3.45898755207056,413.425486314267,-2.06208026173632,3.36666666666667,0.0811214744609236,90.1733333333333,2.18768529442297
2008.25,3.91455518183323,431.545312868279,-1.73094822697206,3.63333333333333,0.0987581911032259,91.6666666666667,1.01882758249623
2008.5,4.14440112269374,429.714454536894,-1.41495328818517,3.83333333333333,0.250761102109087,91.9233333333333,0.0844333898088578
2008.75,2.21828028599623,370.73777548744,-0.696754044242633,2.3,-1.05191252260085,91.6966666666667,-2.10228691060248
2009,0.88842765674768,352.126407099165,0.104343923112122,0.966666666666667,-0.196842281491301,91.09,-5.84952061942516
2009.25,0.593273951080808,376.496114799634,1.30338716937513,0.166666666666667,0.246877438652475,91.85,-5.38271620276003
2009.5,0.395681214412444,386.726540804075,2.47519902778143,-0.366666666666667,-0.772882406066514,91.5933333333333,-4.48147024010144
2009.75,0.377947740131891,391.797477776343,3.43016611651373,0.433333333333333,-0.620982748347192,92.0833333333333,-2.32281607528382
2010,0.261425736070387,400.170279260669,3.86766423503869,1.1,-0.0475384115624514,92.09,1.20462238284826
2010.25,0.138837168240659,410.495226583712,3.71499399107541,1.6,0.213674455039134,93.3133333333333,2.14439848126098
2010.5,0.288097239297252,406.667966611971,3.86207078382272,1.73333333333333,0.210996499911741,93.1666666666667,2.22335759821934
2010.75,0.595085159331803,413.434210989775,3.53821257294651,2,0.60953247558993,93.9533333333333,2.38387668042908
2011,0.825402068693356,431.91400477482,2.83013990485705,2.46666666666667,0.621162978476131,94.3733333333333,2.89197342651093
2011.25,1.17687983629467,437.07116902842,2.4028984932986,2.73333333333333,0.909686384355748,95.8933333333333,1.97749110643102
2011.5,0.651766028211716,435.767892652179,1.59655396596606,2.7,-0.115278250571893,95.6933333333333,1.5730145819342
2011.75,0.257259631616407,436.794373127144,1.23642048378803,2.93333333333333,-0.0856996079381345,96.7166666666667,0.685169177538469
2012,-0.324724917001502,447.837951670176,1.06309748318869,2.7,0.0185205234050505,96.9166666666667,-0.519097494763621
2012.25,-0.615661694844412,440.58142613346,1.00095500614974,2.46666666666667,-0.554109006367415,98.2466666666667,-0.868730484629054
2012.5,-1.049303909868,444.834040727162,0.875381733989353,2.53333333333333,-0.346556080462008,98.13,-1.04213996601796
2012.75,-1.40874025010335,441.852627726717,0.830347897384018,2.3,-0.150644080855149,98.9433333333333,-1.17582666888687
2013,-1.14252383505189,442.655923460654,0.946719824276037,1.86666666666667,-0.30710507000543,98.7166666666667,-1.29154581348434
2013.25,-1.42711206559467,434.923394492581,0.793165163792645,1.4,-0.73388407822996,99.6266666666667,-0.274475039648969
